"The app frequently requires users to engage itscontent by making decisions, answering questions, or actively engaging it in some other manner. ","The app often requires users to engage its content by making decisions, answering questions, or actively engaging it in some other manner.","The app occasionally requires users to engage its content by making decisions, answering questions, or actively engaging it in some other manner.",The app only allows users to interact with it by searching for specific content (e.g. looking up a word in a dictionary app or researching terms using a search engine app).,"The app only presents content to users. Users are never asked to make decisions, answer questions, or actively engage it in some other manner. "
,"The app frequently requires users to engage itscontent by making decisions, answering questions, or actively engaging it in some other manner. ","The app occasionally requires users to engage its content by making decisions, answering questions, or actively engaging it in some other manner.",The app only allows users to interact with it by searching for specific content (e.g. looking up a word in a dictionary app or researching terms using a search engine app).,"The app only presents content to users. Users are never asked to make decisions, answer questions, or actively engage it in some other manner. "
,,"The app allows users to engage its content by making decisions, answering questions, or actively engaging it in some other manner.",The app only allows users to interact with it by searching for specific content (e.g. looking up a word in a dictionary app or researching terms using a search engine app).,"The app only presents content to users. Users are never asked to make decisions, answer questions, or actively engage it in some other manner. "
,,,"The app allows users to engage its content by making decisions, answering questions, or actively engaging it in some other manner.","The app only presents content to users. Users are never asked to make decisions, answer questions, or actively engage it in some other manner. "
,,,,
,,,,
All user information and or data is stored responsibly/kept private and is non-identifying,Most user information and or data is stored responsibly/kept private and is non-identifying,The app requires user to share some personal information and that info is safely stored,The app requires user to share some personal information and that info is probably safely stored,user information and or data is not kept private/stored responsibly and could be used to identify the user
,User information and or data is stored responsibly/kept private and is non-identifying,The app requires user to share some personal information and that info is safely stored,The app requires user to share some personal information and that info is probably safely stored,user information and or data is not kept private/stored responsibly and could be used to identify the user
,,User information and or data is stored responsibly/kept private and is non-identifying,The app requires user to share some personal information and that info is safely stored,user information and or data is not kept private/stored responsibly and could be used to identify the user
,,,User information and or data is stored responsibly/kept private and is non-identifying,user information and or data is not kept private/stored responsibly and could be used to identify the user
,,,,
,,,,
No issues and very reliable, Some minor technical issues.,Crashes Sometimes ,Crashes fairly often,Won’t run. Filled with bugs.
,No issues and very reliable, Some minor technical issues.,Crashes Sometimes ,Won’t run. Filled with bugs.
,,App has little to no issues and is reliable,App has techinal issues and does not work correctly,Won’t run. Filled with bugs.
,,,App has little to no issues and is reliable,App has techincal issues/ bugs that get in the way of learning
,,,,
,,,,
Performs and loads quickly. ,Performs and Loads relatively quickly.,Loads and performs slowly, takes multiple tries to open,Won’t open. 
,Performs and loads quickly. ,Loads and performs slowly, takes multiple tries to open,Won’t open. 
,,Performs and loads quickly. ,Loads and performs slowly,Won’t open. 
,,,Performs and loads quickly. ,Loads and performs slowly
,,,,
,,,,
There Are No In-App Purchases,"There are In-App Purchases, but they are not necessary and are child locked","There are in-app purchases children can make, but they are not necessary for use of app","There Are In App Purchases, which are necessary but child-locked",In App Purchases are Necessary for use of App
,There Are No In-App Purchases,"There are in-app purchases, but they are not necessary for use of app","There Are In App Purchases, which are necessary but child-locked",In App Purchases are Necessary for use of App
,,There Are No In-App Purchases,"There are in-app purchases, but they are not necessary for use of app",In App Purchases are Necessary for use of App
,,,There Are No In-App Purchases,In App Purchases are Necessary for use of App
,,,,
,,,,
"After exiting an app, users can reopen the app and resume engaging it approximately where they were when they logged off.","After exiting an app, users can reopen the app and resume engaging it automatically in close proximity to where they were when they logged off.","After exiting an app, users can reopen the app and manually select the content they were last engaging when they logged off.","After exiting an app, users can reopen it and manually select the content they were last engaging when they logged off, but the content may be different. ","After exiting an app, users must begin on the first level when returning to the app."
,"After exiting an app, users can reopen the app and resume engaging it approximately where they were when they logged off.","After exiting an app, users can reopen the app and manually select the content they were last engaging when they logged off.","After exiting an app, users can reopen it and manually select the content they were last engaging when they logged off, but the content may be different. ","After exiting an app, users must begin on the first level when returning to the app."
,,"After exiting an app, users can reopen the app and resume engaging it approximately where they were when they logged off.","After exiting an app, users can reopen it and manually select the content they were last engaging when they logged off, but the content may be different. ","After exiting an app, users must begin on the first level when returning to the app."
,,,user can save progress and resume at save point,user can not save progress
,,,,
,,,,
App provides appeal over long/unending period of time ,User will use this app many times before becoming bored,User will use this app a fair amount of times before becoming bored,User will use this app infrequently,User will likely only use app a few times
,App provides appeal over long/unending period of time ,User will use this app many times before becoming bored,User will use this app infrequently,User will likely only use app a few times
,,App provides appeal over long/unending period of time ,User will use this app infrequently,User will likely only use app a few times
,,,App provides appeal over longer perior of time,User will likely only use app a few times
,,,,
,,,,
No advertising is present.,Minimal amount of advertising that does not impeded app usage. ,Moderate amount of advertising that does not prevent proper usage of app,Advertising sometimes impedes app usage and is irrelevant to app. ,Advertising is irrelevant and/or inappropriate and makes it difficult to use app
,No advertising is present.,Minimal amount of advertising that does not impeded app usage. ,Advertising sometimes impedes app usage and is irrelevant to app. ,Advertising is irrelevant and/or inappropriate and interrupts the process of using the app. 
,,No advertising is present.,"There is some in-app advertising, but this does not prevent proper usage of app",Advertising is irrelevant and/or inappropriate and interrupts the process of using the app. 
,,,App is add-free,App contains adds
,,,,
free,0.99,< 3,< 10,> 10
App is free,App's price is less than $5.00,App's price is between $5 & $10,App's price is between $10 & $15,App's price is greater than $15.00
,App is free,App's price is less than $5.00,App's price is between $5 & $10,App's price is greater than $10.00
,,App is free,App's price is less than $5.00,App's price is greater than $5.00
,,,App is free,App is not free 
,,,,
,,,,
"Information is error-free, factual, and reliable",Information has a few slight errors that will not affect user experience ,Information has errors that may have a small effect on user experience ,Information has some errors that will have a negative effect on user experience ,information is filled with errors
,"Information is error-free, factual, and reliable",Information has errors that may have a small effect on user experience ,Information has some errors that will have a negative effect on user experience ,information is filled with errors
,,"Information is error-free, factual, and reliable",Information has errors that may have a small effect on user experience ,Information has serious errors that will have a negative affect on user experience 
,,,Information is factual and reliable,information is not reliable
,,,,
,,,,
"Multiple versions of instructions such as text video, and audio, included throughout app","Multiple versions of instructions such as text video, and audio, are frequently provided ","Multiple versions of instructions such as text video, and audio, are provided at a moderate level","Multiple versions of instructions such as text video, and audio, are provided at few times in app","Multiple versions of instructions such as text video, and audio, are not provided"
,"Multiple versions of instructions such as text video, and audio, are frequently provided ","Multiple versions of instructions such as text video, and audio, are provided at a moderate level","Multiple versions of instructions such as text video, and audio, are provided at few times in app","Multiple versions of instructions such as text video, and audio, are not provided"
,,"Multiple versions of instructions such as text video, and audio, are often provided ","Multiple versions of instructions such as text video, and audio, are provided at few times in app","Multiple versions of instructions such as text video, and audio, are not provided"
,,,"Are multiple versions of instructions such as text video, and audio, included?

YES/NO
",
,,,,
,,,,
App requires user to exercise creativity and imagination throughout,App offers frequent oportunities to exercise creativity and imagination,App offers a few oportunities to exercise creativity and imagination,App does not offer oportunities to exercise creativity and imagination,App is detrimental to the development creativity and imagination
,App offers frequent oportunities to exercise creativity and imagination,App offers a few oportunities to exercise creativity and imagination,App does not offer oportunities to exercise creativity and imagination,App is detrimental to the development creativity and imagination
,,App offers oportunities to exercise creativity and imagination,App does not offer oportunities to exercise creativity and imagination,App is detrimental to the development creativity and imagination
,,,App offers oportunities to exercise creativity and imagination,App does not offer oportunities to exercise creativity and imagination
,,,,
,,,,
Skill(s) reinforced are strongly connected to the targeted skill or concept,Skill(s) reinforced are frequently connected to the targeted skill or concept,Skill(s) reinforced are prerequisite or foundation skills for the targeted skill or concept,Some of the skill(s) reinforced are prerequisite or foundation skills for the targeted skill or concept,Skill(s) reinforced in the app are not clearly connected to the targeted skill or concept
,Skill(s) reinforced are strongly connected to the targeted skill or concept,Skill(s) reinforced are related to the targeted skill or concept,Skill(s) reinforced are prerequisite or foundation skills for the targeted skill or concept,Skill(s) reinforced in the app are not clearly connected to the targeted skill or concept
,,Skill(s) reinforced are strongly connected to the targeted skill or concept,Skill(s) reinforced are prerequisite or foundation skills for the targeted skill or concept,Skill(s) reinforced in the app are not clearly connected to the targeted skill or concept
,,,Skill(s) reinforced are strongly connected to the targeted skill or concept,Skill(s) reinforced in the app are not clearly connected to the targeted skill or concept
,,,,
,,,,
App offers complete flexibility to alter content and settings to meet student needs,App offers a high level flexibility to alter content and settings to meet student needs,App offers some flexibility to alter content and settings to meet student needs,App offers limited flexibility to adjust content and settings to meet student needs,App offers no flexibility to meet student needs
,App offers complete flexibility to alter content and settings to meet student needs,App offers some flexibility to alter content and settings to meet student needs,App offers limited flexibility to adjust content and settings to meet student needs,App offers no flexibility to meet student needs
,,App offers a high level flexibility to alter content and settings to meet student needs,App offers limited flexibility to adjust content and settings to meet student needs,App offers no flexibility to meet student needs
,,,App offers flexibility to alter content and settings to meet student needs,App offers no flexibility to meet student needs
,,,,
,,,,
"App provides descriptive, individualized feedback.",App provides descriptive feedback, provides learner feedback with tolerance for errors. Basic feedback is offered to learner.,Learner feedback is not immediate or adequate,no feedback provided
,"App provides descriptive, individualized feedback.","App provides basic, error free feedback", provides learner feedback with tolerance for errors. Basic feedback is offered to learner.,no feedback provided
,,"App provides descriptive, individualized feedback.",App provides basic feedback,no feedback provided
,,,App provides feedback,no feedback provided
,,,,
,,,,
"App encourages the use of higher order thinking skills including creating, evaluating, and analyzing","App facilitates the use of higher order thinking skills including evaluating, analyzing, and applying",App facilitates the use of mostly lower order thinking skills like understanding and remembering,App is limited to the use of lower order thinking skills like understanding and remembering,no thinking skills required. App can be used by randomly hitting buttons with no reason behind actions. 
,"App facilitates the use of higher order thinking skills including evaluating, analyzing, and applying",App facilitates the use of mostly lower order thinking skills like understanding and remembering,App is limited to the use of lower order thinking skills like understanding and remembering,no thinking skills required. App can be used by randomly hitting buttons with no reason behind actions. 
,,"App facilitates the use of higher order thinking skills including evaluating, analyzing, and applying",App is limited to the use of lower order thinking skills like understanding and remembering,no thinking skills required. App can be used by randomly hitting buttons with no reason behind actions. 
,,,"App facilitates the use of thinking skills including evaluating, analyzing, applying,  understanding, and remembering ",no thinking skills required. App can be used by randomly hitting buttons with no reason behind actions. 
,,,,
,,,,
Students can launch and navigate within the app independently,Student needs to have a teacher show or model how to operate the app,Students need to have the teacher review how to the use the app on more than one occasionv,Students need to have the teacher review how to the use the app consistently over a long period of time but eventually are able to operate it independently,Students need constant teacher supervision in order to use the app
,Students can launch and navigate within the app independently,Student needs to have a teacher show or model how to operate the app,Students need to have the teacher review how to the use the app on more than one occasionv,Students need constant teacher supervision in order to use the app
,,Students can launch and navigate within the app independently,Students need to have the teacher review how to the use the app,Students need constant teacher supervision in order to use the app
,,,Students can launch and navigate within the app independently,Students need assistance in order to use app
,,,,
,,,,
This app kept me highly motivated and engaged throughout my time with it.,This kept me motivated and engaged most of the time.,"Somewhat engaging, but lost motivation after a short time.",Barely motivated.,Boring
,This kept me motivated and engaged.,"Somewhat engaging, but lost motivation after a short time.",Barely motivated.,Boring
,,This kept me motivated and engaged.,lost motivation after a short time.,Boring
,,,This kept me motivated and engaged.,App was not engaging
,,,,
App has ability to forward artifacts/results to email or other applications,"App has the ability to forward artifacts/results to e-mail
",App can effectively share rudimentary data,"App can share rudimentary data, but it is not user friendly or effective",App has no ability to share or forward data
,App has ability to forward artifacts/results to email or other applications,"App has the ability to forward artifacts/results to e-mail
","App can share rudimentary data, but it is not user friendly or effective",App has no ability to share or forward data
,,"App has ability to forward artifacts/results to email or other applications
","App can share rudimentary data, but it is not user friendly or effective",App has no ability to share or forward data
,,,"App has ability to forward artifacts/results to email or other applications *
YES/NO",App has no ability to share or forward data
,,,,
,,,,
Targeted skills are practiced in an authentic format/ problem-based learning environment,Most aspects of the app are presented in an authentic learning environment,Some aspects of the app are presented in an authentic learning environment,Skills are practiced in a contrived game/simulation format,Skills are practiced in a rote or isolated fashion (e.g. flashcards)
,Targeted skills are practiced in an authentic format/ problem-based learning environment,Some aspects of the app are presented in an authentic learning environment,Skills are practiced in a contrived game/simulation format,Skills are practiced in a rote or isolated fashion (e.g. flashcards)
,,Targeted skills are practiced in an authentic format/ problem-based learning environment,Some aspects of the app are presented in an authentic learning environment,Skills are practiced in a rote or isolated fashion (e.g. flashcards)
,,,Targeted skills are practiced in an authentic format/ problem-based learning environment,Skills are practiced in a rote or isolated fashion (e.g. flashcards)
,,,,
,,,,
The app’s content for specific grade-levels is always matched appropriately for its target audience.,The app’s content for specific grade-levels is usually matched appropriately for its target audience.,The app’s content for specific grade-levels is rarely matched appropriately for its target audience.,The app’s content for specific grade-levels is not matched appropriately for its target audience. ,The app’s content for specific grade-levels is not appropriate for its target audience.
,The app’s content for specific grade-levels is always matched appropriately for its target audience.,The app’s content for specific grade-levels is usually matched appropriately for its target audience.,The app’s content for specific grade-levels is rarely matched appropriately for its target audience.,The app’s content for specific grade-levels is not appropriate for its target audience.
,,The app’s content for specific grade-levels is always matched appropriately for its target audience.,The app’s content for specific grade-levels is rarely matched appropriately for its target audience.,The app’s content for specific grade-levels is not appropriate for its target audience.
,,,"The app’s content for specific
grade-levels is
matched appropriately
for its target audience.",The app’s content for specific grade-levels is not appropriate for its target audience.
,,,,
,,,,
App always promotes colaboration between users,App frequently promotes collaboration between users,App promotes some collaboration between users,App rarely promotes collaboration between users,App does not promote collaboration
,App frequently promotes collaboration between users,App promotes some collaboration between users,App rarely promotes collaboration between users,App does not promote collaboration
,,App frequently promotes colaboration between users,App rarely promotes collaboration between users,App does not promote collaboration
,,,App promotes creation between users,App does not promote collaboration
,,,,
,,,,
Users can move through the app’s content and options fluidly.,Users need to put forth some effort to move through the app’s content and options.,Users need to put forth a significant amount of effort to move through the app’s content and options. ,Users are somewhat impeded from moving fluidly through the app’s content and options because of its organization.,Users encounter substantial challenges when trying to move through the app’s content and options 
,Users can move through the app’s content and options fluidly.,Users need to put forth some effort to move through the app’s content and options.,Users are somewhat impeded from moving fluidly through the app’s content and options because of its organization.,Users encounter substantial challenges when trying to move through the app’s content and options 
,,Users can move through the app’s content and options fluidly.,Users need to put forth some effort to move through the app’s content and options.,Users encounter substantial challenges when trying to move through the app’s content and options 
,,,Users can move through the app’s content and options fluidly.,Users encounter substantial challenges when trying to move through the app’s content and options 
,,,,
,,,,
App provides a support page that is very usefull,App provides a support page that is mostly usefull,App provides a very sparse support page that is usefull sometimes,App provides a supporting web page but it is not usefull,App does no prove a support page
,App provides a very usefull support page,App provides a somewhat usefull support page,App provides a supporting web page but it is not usefull,App does no prove a support page
,,App provides a usefull support page,App provides a supporting web page but it is not usefull,App does no prove a support page
,,,App provides a usefull support page,App does no prove a support page or the support page it provides is completely unhelpful
,,,,
App has built-in assessment features; ability to track progress & report on that progress,App has built in assessment features; records data on that progress,App can report on more nuanced data besides usage (basic scoring and progress data),"App records basic user data, does not assess or track progress",App does not record or track student data
,App has built-in assessment features; ability to track progress & report on that progress,App has built in assessment features; records data on that progress,"App records basic user data, does not assess or track progress",App does not record or track student data
,,App has built-in assessment features; ability to track progress & report on that progress ,"App records basic user data, does not assess or track progress",App does not record or track student data
,,,"App has built-in assessment features; ability to track progress & report on that progress

Yes",App does not record or track student data
,,,,
,,,,
The app’s graphics and interface will most likely motivate users to engage it.,The app’s graphics and interface may motivate users to engage it.,The app’s graphics and interface may possibly motivate users to engage it. ,The app’s graphics and interface will likely have no impact on whether or not users are motivated to engage it.,The app’s graphics and interface will likely deter users from engaging it.
,The app’s graphics and interface will most likely motivate users to engage it.,The app’s graphics and interface may possibly motivate users to engage it. ,The app’s graphics and interface will likely have no impact on whether or not users are motivated to engage it.,The app’s graphics and interface will likely deter users from engaging it.
,,The app’s graphics and interface will most likely motivate users to engage it.,The app’s graphics and interface will likely have no impact on whether or not users are motivated to engage it.,The app’s graphics and interface will likely deter users from engaging it.
,,,The app’s graphics and interface will most likely motivate users to engage it.,The app’s graphics and interface will likely deter users from engaging it.
,,,,
,,,,
The music/sound in the app always adds to the user expierence ,The music/sound in the app usually adds to the user expierence ,The music/sound in the app rarely adds to the user expierence ,The music/sound in the app adds nothing to the user expierence ,The music/sound in the app is detrimental to the user expierence
,The music/sound in the app usually adds to the user expierence ,The music/sound in the app rarely adds to the user expierence ,The music/sound in the app adds nothing to the user expierence ,The music/sound in the app is detrimental to the user expierence
,,The music/sound in the app adds to the user expierence ,The music/sound in the app adds nothing to the user expierence ,The music/sound in the app is detrimental to the user expierence
,,,"The music/sound in the app adds to the user expierence

Yes",No
,,,,
,,,,
"The app’s text, graphics, videos, sound, and speech are organized in a way that enhances the app’s content.","The app’s text, graphics, videos, sound, and speech are usually organized in a way that complements the app’s content.","The app’s text, graphics, videos, sound, and speech are organized in a way that does not enhance or detract from the app’s content.","The app’s text, graphics, videos, sound, and speech are organized in a way that does not enhance or detract from the app’s content. ","The app’s text, graphics, videos, sound, and speech are not well organized and may detract from the app’s content."
,"The app’s text, graphics, videos, sound, and speech are organized in a way that complements the app’s content.","The app’s text, graphics, videos, sound, and speech are organized in a way that does not enhance or detract from the app’s content.","The app’s text, graphics, videos, sound, and speech are organized in a way that does not enhance or detract from the app’s content. ","The app’s text, graphics, videos, sound, and speech are not well organized and may detract from the app’s content."
,,"The app’s text, graphics, videos, sound, and speech are organized in a way that complements the app’s content.","The app’s text, graphics, videos, sound, and speech are organized in a way that does not enhance or detract from the app’s content. ","The app’s text, graphics, videos, sound, and speech are not well organized and may detract from the app’s content."
,,,"The app’s text, graphics, videos, sound, and speech are organized in a way that complements the app’s content.","The app’s text, graphics, videos, sound, and speech are not well organized and may detract from the app’s content."
,,,,
,,,,
Most of the content is based on research/evidence,Some aspects of the app are based on research/evidence,Seems like there may be research to support this; I will need to find it,There is no research base for this app,research contradicts this app's methods
,App is research/evidence based,Seems like there may be research to support this; I will need to find it,There is no research base for this app,research contradicts this app's methods
,,App is research/evidence based,Seems like there may be research to support this; I will need to find it,There is no research base for this app
,,,App is research/evidence based,There is no research base for this app
,,,,
,,,,
,,,,
,,,,
The app allows users complete control related to the level at which they begin engaging its content.,The app allows users significant control related to the level at which they begin engaging its content.,The app allows users some control related to the level at which they begin engaging its content.,The app allows users little control related to the level at which they begin engaging its content. ,The app allows users no control related to the level at which they begin engaging its content.
,The app allows users significant control related to the level at which they begin engaging its content.,The app allows users some control related to the level at which they begin engaging its content.,The app allows users little control related to the level at which they begin engaging its content. ,The app allows users no control related to the level at which they begin engaging its content.
,,The app allows users significant control related to the level at which they begin engaging its content.,The app allows users little control related to the level at which they begin engaging its content. ,The app allows users no control related to the level at which they begin engaging its content.
,,,"The app allows users control related to the level at which they begin engaging its content.


Yes",No
,,,,
"App updates frequently, and rolls out new and improved content","App updates infrequently, but rolls out new and improved content",App updates frequently with bug fixes,"App updates infrequently, and then only to fix bugs",App does not update even to fix bugs
,"App updates frequently, and rolls out new and improved content","App updates infrequently, but rolls out new and improved content","App updates infrequently, and then only to fix bugs",App does not update even to fix bugs
,,"App updates frequently, and rolls out new and improved content","App updates infrequently, and then only to fix bugs",App does not update even to fix bugs
,,,"App provides necessary updates 

Yes",App does not update even to fix bugs
,,,,
,,,,
Very easy to learn and directions are clear and simple to follow,Easy to learn and direction can be followed.,Kind of difficult to learn. Directions are limited.,Very complex to learn. No directions available,What am I supposed to do with this app?
,Very easy to learn and directions are clear and simple to follow,Easy to learn and direction can be followed.,Kind of difficult to learn. Directions are limited.,Very complex to learn. No directions available
,,Easy to learn and direction can be followed.,Kind of difficult to learn. Directions are limited.,Very complex to learn. No directions available
,,,"Easy to learn and direction can be followed.


Yes",No
,,,,
App accomodates more than 4 languages,App accomodates 4 languages,App accomodates 3 languages,App accomodates 2 languages,App only accomodates english speakers
,App accomodates 4 or more languages,App accomodates 3 languages,App accomodates 2 languages,App only accomodates english speakers
,,App accomodates 3  or more languages,App accomodates 2 languages,App only accomodates english speakers
,,,App only accomodates multiple languages,App only accomodates english speakers
,,,,
,,,,
